投票所,有権者数（男）,有権者数（女）,投票者数（男）,投票者数（女）
傍示集会所,190,220,72,73
庄田自治会館,298,380,148,186
大北自治会館,329,349,179,189
久保集会所,239,272,119,126
デイサービスセンター長楽,495,432,215,199
鹿畑自治会館,600,635,269,259
北コミュニティセンターセミナー室201,455,564,236,252
北田原集会所,222,245,110,114
南田原集会所,858,945,349,337
小明町自治会館,1601,1807,806,842
生駒台集会所,554,709,287,321
俵口町自治会館,2493,2779,1071,1098
生駒台小学校多目的室,1386,1603,662,690
生駒中学校相談室,1545,1822,667,695
たけまるホール研修室1,739,884,372,465
谷田自治会館,895,1018,408,431
図書会館大会議室,2164,2437,947,1033
生駒小学校英語教室,869,1083,390,403
生駒市役所2階ロビー,2712,3112,1122,1219
門前町会館,344,431,128,132
緑ヶ丘中学校多目的ホール,1619,1848,650,652
東生駒自治会館,954,1112,477,503
菜畑自治会館,1261,1395,528,543
壱分町東自治会館,1901,2110,766,785
南コミュニティセンターセミナー室202,1423,1546,710,736
やまびこホール,165,173,73,65
北小平尾自治会館,754,893,360,369
南小平尾自治会館,211,256,76,90
萩の台自治会館,306,370,173,192
鹿ノ台小学校体育館,2905,3384,1769,1843
あすか野自治会館,1932,2248,1142,1201
東生駒南自治会館,756,905,369,410
小瀬町自治会館,1027,1118,472,470
真弓小学校多目的ホール,1700,1964,1021,1023
萩の台住宅地自治会館,1388,1590,761,805
ひかりが丘集会所,697,771,366,399
上中学校多目的室,2775,3057,1428,1426
さつき台集会所,925,1088,496,527
喜里が丘自治会館,703,777,357,358
北大和自治会館,1444,1614,816,822
大瀬中学校多目的室,1329,1396,540,505
在外選挙人投票,60,67,13,11
期日前投票所,,,4539,5194
不在者投票,,,160,174
