投票所,有権者数（男）,有権者数（女）,投票者数（男）,投票者数（女）
傍示集会所,198,244,92,100
庄田自治会館,324,400,180,196
大北自治会館,344,359,189,203
久保集会所,239,277,123,124
デイサービスセンター長楽,599,478,248,204
鹿畑自治会館,524,558,252,240
北コミュニティセンターセミナー室201,455,552,269,283
北田原集会所,248,285,124,132
南田原集会所,879,968,387,392
小明町自治会館,"1,670","1,821",869,967
生駒台集会所,590,712,330,345
俵口町自治会館,"2,579","2,802","1,239","1,264"
生駒台小学校多目的室,"1,404","1,593",721,774
生駒中学校相談室,"1,615","1,834",740,796
たけまるホール研修室1,669,823,387,458
谷田自治会館,871,"1,003",416,463
図書会館大会議室,"2,151","2,347","1,061","1,119"
生駒小学校英語教室,851,"1,039",405,432
生駒市役所2階ロビー,"2,739","3,083","1,257","1,319"
門前町会館,352,445,146,165
緑ヶ丘中学校多目的ホール,"1,678","1,901",743,772
東生駒自治会館,880,"1,041",470,531
菜畑自治会館,"1,281","1,385",599,646
壱分町東自治会館,"1,909","2,079",858,869
南コミュニティセンターセミナー室202,"1,437","1,578",815,823
やまびこホール,168,180,79,80
北小平尾自治会館,739,905,369,406
南小平尾自治会館,233,257,96,119
萩の台自治会館,311,346,190,213
鹿ノ台小学校体育館,"3,039","3,479","1,946","2,043"
あすか野自治会館,"1,972","2,303","1,240","1,304"
東生駒南自治会館,767,919,399,457
小瀬町自治会館,"1,059","1,102",535,534
真弓小学校多目的ホール,"1,775","2,059","1,106","1,169"
萩の台住宅地自治会館,"1,435","1,610",807,883
ひかりが丘集会所,739,817,429,465
上中学校多目的室,"2,200","2,425","1,194","1,214"
さつき台集会所,914,"1,046",532,588
喜里が丘自治会館,708,783,392,400
北大和自治会館,"1,385","1,520",824,850
大瀬中学校多目的室,"1,146","1,224",540,524
在外選挙人投票,79,70,16,14
期日前投票所,,,"4,059","4,794"
不在者投票,,,181,224
